                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.86884,                 1.0942,                  1.262,                0.70778,                0.64317,                0.74051,                0.47193,                 1.1785,                 1.1716,                 1.5736,             0.00082533,             0.00082533,             0.00082533
                     53,                0.88214,                 1.0843,                 1.2653,                0.65679,                0.74422,                0.73115,                0.46609,                 1.1258,                 1.0979,                 1.5408,             0.00080883,             0.00080883,             0.00080883
                     54,                0.85578,                 1.0694,                 1.2575,                0.64364,                0.71229,                0.72935,                0.46792,                 1.1387,                 1.1374,                 1.5394,             0.00079233,             0.00079233,             0.00079233
                     55,                0.87722,                 1.0909,                 1.2636,                0.59424,                0.77867,                0.67602,                0.41629,                 1.1602,                 1.1384,                 1.5621,             0.00077582,             0.00077582,             0.00077582
                     56,                0.84024,                 1.0348,                 1.2454,                0.71205,                0.61771,                 0.7155,                0.45294,                 1.1563,                 1.1845,                 1.5591,             0.00075932,             0.00075932,             0.00075932
                     57,                0.84732,                 1.0331,                 1.2419,                 0.7676,                0.60539,                0.73475,                0.46397,                 1.1784,                 1.1541,                 1.5224,             0.00074282,             0.00074282,             0.00074282
                     58,                0.84851,                 1.0227,                 1.2525,                0.72992,                 0.6822,                0.76099,                0.48984,                 1.1215,                 1.1055,                 1.5151,             0.00072631,             0.00072631,             0.00072631
                     59,                0.83439,                 1.0161,                 1.2291,                0.66358,                0.66805,                0.71608,                0.45518,                 1.1694,                  1.203,                   1.55,             0.00070981,             0.00070981,             0.00070981
                     60,                0.83717,                0.99359,                 1.2274,                 0.7043,                0.70316,                0.73803,                0.44514,                   1.24,                 1.1817,                  1.615,             0.00069331,             0.00069331,             0.00069331
                     61,                0.82595,                 1.0141,                 1.2292,                0.65376,                0.70632,                0.72548,                0.45019,                 1.1416,                 1.1604,                 1.5396,              0.0006768,              0.0006768,              0.0006768
                     62,                0.82592,                0.97475,                 1.2313,                0.65817,                0.70126,                0.74756,                0.46818,                 1.1702,                 1.1878,                 1.5423,              0.0006603,              0.0006603,              0.0006603
                     63,                0.81807,                 0.9896,                 1.2305,                0.73123,                0.67662,                0.72022,                0.47143,                 1.1215,                 1.1144,                   1.48,              0.0006438,              0.0006438,              0.0006438
                     64,                 0.8169,                0.96139,                 1.2204,                0.62025,                0.70369,                0.72277,                0.46573,                 1.1083,                 1.1395,                 1.4751,             0.00062729,             0.00062729,             0.00062729
                     65,                0.79162,                0.98043,                 1.2192,                0.65788,                0.70183,                0.72192,                0.45986,                 1.1641,                 1.1559,                 1.5513,             0.00061079,             0.00061079,             0.00061079
                     66,                 0.7998,                0.96993,                 1.2147,                0.59796,                0.74008,                0.75315,                0.47949,                   1.15,                 1.1626,                 1.5365,             0.00059429,             0.00059429,             0.00059429
                     67,                0.80008,                0.95835,                 1.2182,                0.63468,                0.73599,                0.71046,                0.44149,                 1.1798,                 1.2028,                 1.5787,             0.00057778,             0.00057778,             0.00057778
                     68,                0.78144,                0.92157,                  1.204,                0.62233,                0.69169,                0.69094,                0.43306,                  1.117,                 1.1655,                  1.507,             0.00056128,             0.00056128,             0.00056128
                     69,                0.79311,                0.92979,                 1.2117,                0.75266,                0.63988,                 0.7422,                0.48096,                 1.0928,                 1.1134,                 1.4992,             0.00054478,             0.00054478,             0.00054478
                     70,                0.77941,                0.92075,                 1.1959,                0.65194,                0.71225,                0.72186,                0.46139,                 1.1163,                 1.1569,                 1.5247,             0.00052827,             0.00052827,             0.00052827
                     71,                0.75883,                0.88488,                 1.1786,                 0.6193,                0.69556,                0.69395,                0.43996,                 1.1888,                 1.2006,                 1.5757,             0.00051177,             0.00051177,             0.00051177
                     72,                0.76025,                0.87117,                 1.1863,                0.69839,                0.66761,                0.74007,                0.47207,                 1.1243,                  1.107,                 1.5249,             0.00049527,             0.00049527,             0.00049527
                     73,                0.76926,                0.90091,                 1.1941,                0.73088,                0.64302,                0.72423,                0.48221,                 1.0907,                 1.1382,                 1.5231,             0.00047876,             0.00047876,             0.00047876
                     74,                 0.7524,                0.88358,                 1.1762,                0.73797,                0.71006,                0.75587,                0.48812,                 1.0869,                 1.1297,                 1.4997,             0.00046226,             0.00046226,             0.00046226
                     75,                0.77511,                0.89929,                 1.1988,                0.70153,                0.61474,                0.70646,                0.45356,                 1.0848,                 1.2033,                 1.4785,             0.00044576,             0.00044576,             0.00044576
                     76,                0.76763,                0.86853,                 1.1869,                0.68924,                0.72042,                0.75487,                0.49731,                 1.0938,                 1.0624,                  1.505,             0.00042925,             0.00042925,             0.00042925
                     77,                0.75474,                0.89398,                 1.1941,                0.63338,                0.70751,                0.69668,                0.43665,                 1.1335,                 1.2381,                 1.5514,             0.00041275,             0.00041275,             0.00041275
                     78,                  0.729,                0.84785,                 1.1589,                0.64954,                0.72693,                0.72414,                  0.474,                 1.1102,                 1.1326,                  1.528,             0.00039625,             0.00039625,             0.00039625
                     79,                0.71968,                0.83322,                 1.1663,                0.71057,                0.63751,                0.70288,                0.45793,                 1.0742,                 1.1407,                 1.4953,             0.00037974,             0.00037974,             0.00037974
                     80,                0.73447,                0.82543,                 1.1681,                0.74052,                0.64889,                0.73043,                0.48921,                 1.1144,                 1.0885,                 1.5451,             0.00036324,             0.00036324,             0.00036324
                     81,                0.73609,                0.83535,                 1.1719,                 0.7374,                0.67946,                0.74256,                0.48204,                 1.1114,                 1.1136,                 1.5358,             0.00034674,             0.00034674,             0.00034674
                     82,                0.72147,                0.81159,                 1.1656,                0.76039,                0.67091,                0.75176,                0.49795,                 1.0546,                 1.1061,                 1.4885,             0.00033023,             0.00033023,             0.00033023
                     83,                0.70602,                0.80058,                 1.1502,                0.71006,                0.67809,                0.74048,                0.48257,                 1.0775,                 1.1586,                 1.4991,             0.00031373,             0.00031373,             0.00031373
                     84,                 0.7163,                0.81251,                 1.1645,                0.67571,                0.73997,                0.72924,                0.48036,                 1.0638,                  1.092,                 1.4939,             0.00029723,             0.00029723,             0.00029723
